SnapshotDate,DocumentStatus,ID,Severidad,Tema,Hallazgo,Impacto,Accion_recomendada
2026-03-12,Historical Snapshot,C1,Critico,Baseline/FSW,Conviven dos modelos operativos distintos (SCIENCE vs NOMINAL),Contamina requisitos software y V&V,Consultar baseline/VCRM vigentes; esta fila no expresa estado actual
2026-03-12,Historical Snapshot,C2,Critico,COMMS,Uplink LoRa desde nodos tipicos sigue siendo justo y no esta experimentalmente cerrado,Riesgo directo sobre el criterio de exito del MVP,Consultar baseline/VCRM vigentes; esta fila no expresa estado actual
2026-03-12,Historical Snapshot,C3,Critico,Compliance,Falta matriz formal de cumplimiento de vuelo/CDS/licencias,Riesgo de bloqueo tardio de integracion/lanzamiento,Consultar baseline/VCRM vigentes; esta fila no expresa estado actual
2026-03-12,Historical Snapshot,H1,Alto,Documentacion,Demasiados documentos historicos siguen apareciendo como si estuvieran vivos,Errores de decision y contaminacion de contexto,Consultar baseline/VCRM vigentes; esta fila no expresa estado actual
2026-03-12,Historical Snapshot,H2,Alto,RF,La madurez del hardware RF esta muy por detras de EPS,Desbalance de cronograma y riesgo tecnico,Consultar baseline/VCRM vigentes; esta fila no expresa estado actual
2026-03-12,Historical Snapshot,H3,Alto,Link budget,UHF 1k2 tiene margen bajo en peor caso,Operacion poco robusta a baja elevacion,Consultar baseline/VCRM vigentes; esta fila no expresa estado actual
2026-03-12,Historical Snapshot,H4,Alto,Costos,Costeo ROM aun sin datos trazables,No permite decisiones de procurement,Consultar baseline/VCRM vigentes; esta fila no expresa estado actual
2026-03-12,Historical Snapshot,M1,Medio,Requisitos,Trazabilidad de requisitos mezcla baseline con documentos draft,Debilita control de configuracion,Consultar baseline/VCRM vigentes; esta fila no expresa estado actual
2026-03-12,Historical Snapshot,M2,Medio,Ground SW,Dashboard de banco mantiene estado solo en memoria,Poca capacidad de post-mortem y replay,Consultar baseline/VCRM vigentes; esta fila no expresa estado actual
2026-03-12,Historical Snapshot,M3,Medio,EPS Bench,Banco 1S puede leerse erradamente como arquitectura de vuelo,Riesgo de sesgo de diseno,Consultar baseline/VCRM vigentes; esta fila no expresa estado actual
