ComplianceID,ParentReqIDs,Method,ProcedureIDs,Gate,OwnerRole,RiskIDs,ConfigurationID,EvidenceID,Status
CX-M-01,COMP-REQ-01,I+D,PROC-MECH-001,PDR/FRR,Structure,RSK-MECH-01,TBD,TBD,Open
CX-M-02,COMP-REQ-01,I,PROC-MECH-001,PDR/FRR,Structure,RSK-MECH-01,TBD,TBD,Blocked by Integrator
CX-M-03,COMP-REQ-01,A+I,PROC-MECH-001,PDR/FRR,Structure,RSK-MECH-01,TBD,TBD,Blocked by Integrator
CX-M-04,COMP-REQ-01,I,PROC-MECH-001,PDR/FRR,Structure,RSK-MECH-01,TBD,TBD,Blocked by Integrator
CX-M-05,COMP-REQ-02,I+T,PROC-MECH-001;PROC-ENV-001,CDR/QAR,Structure/Mechanisms,RSK-LAUNCH-01,TBD,TBD,Open
CX-M-06,COMP-REQ-01,I+D,PROC-MECH-001,FRR,Structure,RSK-MECH-01,TBD,TBD,Blocked by Integrator
CX-M-07,COMP-REQ-01,I,PROC-MECH-001,PDR/FRR,Structure/Configuration,RSK-MECH-01,TBD,TBD,Open
CX-M-08,COMP-REQ-02,I+T,PROC-EPS-001,CDR/FRR,EPS,RSK-LAUNCH-01,TBD,TBD,Open
CX-M-09,COMP-REQ-02,I+T,PROC-EPS-001,CDR/FRR,EPS,RSK-LAUNCH-01,TBD,TBD,Open
CX-M-10,COMP-REQ-02,I+T,PROC-MECH-001;PROC-ENV-001,CDR/QAR,Structure/EPS,RSK-LAUNCH-01,TBD,TBD,Open
CX-M-11,COMP-REQ-02,T,PROC-FSW-001;PROC-ENV-001,TRR/FRR,FSW/Mechanisms,RSK-LAUNCH-01,TBD,TBD,Blocked by Integrator
CX-M-12,COMP-REQ-05,A+I,PROC-MAT-001,CDR/FRR,Structure/Materials,RSK-MAT-01,TBD,TBD,Open
CX-M-13,COMP-REQ-05,I+T,PROC-MAT-001,CDR/FRR,Materials,RSK-MAT-01,TBD,TBD,Blocked by Integrator
CX-M-14,COMP-REQ-01,I,PROC-MECH-001,FRR,Structure/Configuration,RSK-MECH-01,TBD,TBD,Open
CX-LAUNCH-01,COMP-REQ-02,I+T,PROC-EPS-001,CDR/FRR,EPS/Systems,RSK-LAUNCH-01,TBD,TBD,Open
CX-LAUNCH-02,COMP-REQ-02,I+T,PROC-EPS-001;PROC-RF-001,CDR/FRR,EPS/COMMS,RSK-LAUNCH-01,TBD,TBD,Open
CX-LAUNCH-03,COMP-REQ-02,T,PROC-FSW-001;PROC-RF-001,TRR/FRR,FSW/COMMS,RSK-LAUNCH-01,TBD,TBD,Blocked by Integrator
CX-LAUNCH-04,COMP-REQ-06,I+T,PROC-EPS-001,CDR/FRR,EPS/Safety,RSK-EPS-02,TBD,TBD,Open
CX-LAUNCH-05,COMP-REQ-06,I,PROC-EPS-001,PDR/FRR,EPS/Regulatory,RSK-EPS-02,TBD,TBD,Blocked by Integrator
CX-RF-01,MIS-REQ-02;COMP-REQ-03,I+T,PROC-RF-002,CDR/TRR,COMMS,RSK-REG-01,TBD,TBD,Planned
CX-RF-02,MIS-REQ-03;COMP-REQ-04,I+T,PROC-REG-001;PROC-RF-001,PDR/FRR,COMMS/Regulatory,RSK-REG-02;RSK-RF-01,TBD,TBD,Open
CX-RF-03,MIS-REQ-03;COMP-REQ-04,T,PROC-RF-001;PROC-REG-001,TRR/FRR,COMMS/Regulatory,RSK-REG-02;RSK-RF-01,TBD,TBD,Open
CX-RF-04,COMP-REQ-04,I+D,PROC-REG-001,PDR/FRR,Operations/Regulatory,RSK-REG-02,TBD,TBD,Open
CX-RF-05,COMP-REQ-04,I,PROC-REG-001,PDR/FRR,Operations/Regulatory,RSK-REG-02,TBD,TBD,Open
CX-RF-06,COMP-REQ-04,I+T,PROC-REG-001;PROC-RF-001,TRR/FRR,Operations/COMMS,RSK-REG-02,TBD,TBD,Open
CX-RF-07,COMP-REQ-04;MIS-REQ-20,A+I+T,PROC-REG-001;PROC-RF-001,PDR/FRR,Regulatory/COMMS,RSK-REG-02,TBD,TBD,Open
CX-RF-08,MIS-REQ-04;COMP-REQ-04,I,PROC-REG-001,SRR/Gate B,Regulatory/COMMS,RSK-REG-01,TBD,TBD,Open
CX-RF-09,SEC-REQ-01,T+A,PROC-SEC-001,CDR/TRR,Security/FSW,RSK-SEC-01,TBD,TBD,Open
CX-RF-10,MIS-REQ-21,I+T,PROC-GND-001,Gate C/TRR,Ground/COMMS,RSK-GND-01,TBD,TBD,Planned
CX-RF-11,MIS-REQ-03,A+T,PROC-RF-001,PDR/TRR,COMMS/Ground,RSK-RF-01,TBD,TBD,Open
CX-RF-12,COMMS-UL-07,T+A,PROC-SEC-001,Gate B/TRR,Security/Node,RSK-SEC-03,TBD,TBD,Open
CX-ORB-01,ORB-REQ-01,A+I,PROC-ORB-001,PDR/FRR,Mission/Regulatory,RSK-DEBRIS-01,TBD,TBD,Open
CX-EPS-01,MIS-REQ-06;COMP-REQ-06,I+T,PROC-EPS-001,CDR/TRR,EPS/Safety,RSK-EPS-01;RSK-EPS-02,TBD,TBD,Open
CX-EPS-02,THR-REQ-03;COMP-REQ-06,T+A,PROC-EPS-001;PROC-THR-001,CDR/QAR,EPS/Thermal,RSK-EPS-02,TBD,TBD,Open
CX-EPS-03,PWR-REQ-01,A+T,PROC-PWR-001,PDR/CDR,EPS/Systems,RSK-PWR-01,TBD,TBD,Open
CX-THR-01,THR-REQ-01;THR-REQ-02;THR-REQ-03;THR-REQ-04,T+A,PROC-THR-001;PROC-MAT-001,CDR/QAR,Thermal/Materials,RSK-THR-01;RSK-THR-02,TBD,TBD,Open
CX-RAD-01,RAD-REQ-01,A+T+I,PROC-RAD-001,PDR/CDR,Radiation/Systems,RSK-RAD-01,TBD,TBD,Open
CX-ENV-01,ENV-REQ-01,T,PROC-ENV-001,QAR/FRR,AIT/QA,RSK-ENV-01,TBD,TBD,Blocked by Integrator
CX-EP-01,MIS-REQ-15;SYS-REQ-04,I,PROC-DOC-001,Each review,Configuration/QA,RSK-CONF-01,TBD,TBD,Implemented
CX-EP-02,SYS-REQ-03,I,PROC-REV-001,Each review,Systems/QA,RSK-PROG-01,TBD,TBD,Implemented
CX-EP-03,SYS-REQ-03,I,PROC-REV-001,FRR,Systems/QA,RSK-PROG-01,TBD,TBD,Open
CX-EP-04,SYS-REQ-07,I,PROC-REV-001,Each review,QA/Risk,RSK-PROG-01,TBD,TBD,Planned
CX-AI-01,SYS-REQ-01;IA-REQ-10,I+T+A,PROC-AI-001;PROC-SCI-001,SRR/IA-1,AI/Science,RSK-AI-01,TBD,TBD,Open
